providername;dbaname;blockcode;techcode;maxaddown;maxadup;maxcirdown;maxcirup;county_FIPS;broadband;broadband_pct;mediandown;medianup;prom_provider;prom_tech
Consolidated Communications Holdings, Inc.;Consolidated Communications;480050001022030;50;1000;1000,0;1000;1000;48005;1;0,5163666;25;3,0;ViaSat, Inc.;60
Consolidated Communications Holdings, Inc.;Consolidated Communications;481576730032038;50;1000;1000,0;1000;1000;48157;1;0,5097311;25;3,0;ViaSat, Inc.;60
Consolidated Communications Holdings, Inc.;Consolidated Communications;481851801023004;50;1000;1000,0;1000;1000;48185;1;0,4278000;10;3,0;ViaSat, Inc.;60
Consolidated Communications Holdings, Inc.;Consolidated Communications;482014553001011;50;1000;1000,0;1000;1000;48201;1;0,4850463;18;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Consolidated Communications Holdings, Inc.;Consolidated Communications;483396904012000;50;1000;1000,0;1000;1000;48339;1;0,5003611;25;3,0;ViaSat, Inc.;60
Consolidated Communications Holdings, Inc.;Consolidated Communications;484736801001006;50;1000;1000,0;1000;1000;48473;1;0,4491941;18;1,3;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;480291206001009;50;1000;1000,0;1000;1000;48029;1;0,5725562;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;484530003061037;50;1000;1000,0;1000;1000;48453;1;0,5412363;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;480559604001064;50;1000;1000,0;1000;1000;48055;1;0,5463103;25;3,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;482090109024015;50;1000;1000,0;1000;1000;48209;1;0,5583607;25;3,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;484059503002120;50;1000;1000,0;1000;1000;48405;1;0,4232835;10;1,3;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;480850305162008;50;1000;1000,0;1000;1000;48085;1;0,4654768;18;1,3;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;482319607001162;50;1000;1000,0;1000;1000;48231;1;0,3767363;10;3,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;481130113002009;50;1000;1000,0;1000;1000;48113;1;0,4651997;18;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;481872107101000;50;1000;1000,0;1000;1000;48187;1;0,5905453;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;481199501001153;50;1000;1000,0;1000;1000;48119;1;0,3606256;10;2,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;484910203182046;50;1000;1000,0;1000;1000;48491;1;0,4249015;20;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;482570513004051;50;1000;1000,0;1000;1000;48257;1;0,4779512;20;3,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;484790017093020;50;1000;1000,0;1000;1000;48479;1;0,4981284;25;3,0;ViaSat, Inc.;60
Google Fiber Texas, LLC;Google Fiber Texas, LLC;484410135002004;50;1000;1000,0;1000;1000;48441;1;0,5021825;25;3,0;ViaSat, Inc.;60
Muenster Telephone Corporation of Texas;Nortex Communications;480970002001143;50;1000;1000,0;   0;   0;48097;1;0,5442173;25;3,0;ViaSat, Inc.;60
Muenster Telephone Corporation of Texas;Nortex Communications;481210201034013;50;1000;1000,0;   0;   0;48121;1;0,4977037;25;3,0;BelWave Communications, Inc.;60
Muenster Telephone Corporation of Texas;Nortex Communications;483379506001002;50;1000;1000,0;   0;   0;48337;1;0,4662438;20;3,0;ViaSat, Inc.;60
CenturyLink, Inc.;CenturyLink;480270219033000;50;1000;1000,0;   0;   0;48027;1;0,5138572;25;3,0;ViaSat, Inc.;60
CenturyLink, Inc.;CenturyLink;480990104003019;50;1000;1000,0;   0;   0;48099;1;0,5738118;25;3,0;ViaSat, Inc.;60
CenturyLink, Inc.;CenturyLink;481439506001060;50;1000;1000,0;   0;   0;48143;1;0,6518958;25;3,0;ViaSat, Inc.;60
CenturyLink, Inc.;CenturyLink;484971502004081;50;1000;1000,0;   0;   0;48497;1;0,5289755;25;3,0;AMG Technology Investment Group;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;480539602002002;50;1000; 100,0;1000; 100;48053;1;0,4334735;20;3,0;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;480959503002006;50;1000; 100,0;1000; 100;48095;1;0,4325551; 8;2,0;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;481939502001213;50;1000; 100,0;1000; 100;48193;1;0,5512383;25;3,0;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;482819501001025;50;1000; 100,0;1000; 100;48281;1;0,4794900;18;3,0;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;482999701002022;50;1000; 100,0;1000; 100;48299;1;0,4088065;12;3,0;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;483079504001268;50;1000; 100,0;1000; 100;48307;1;0,4362243;12;1,3;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;483339502003046;50;1000; 100,0;1000; 100;48333;1;0,4486175; 8;1,3;Central Texas Telephone Coop Inc;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;484119501002099;50;1000; 100,0;1000; 100;48411;1;0,4399680; 8;1,3;ViaSat, Inc.;60
Central Texas Telephone Coop Inc;Central Texas Tel Coop Inc.;484510016004284;50;1000; 100,0;1000; 100;48451;1;0,3916543; 6;1,3;Frontier Communications Corporation;60
AMG Technology Investment Group;Nextlink Residential;483671404072085;50;1000;1000,0;   0;   0;48367;1;0,5761242;25;3,0;AMG Technology Investment Group;60
AMG Technology Investment Group;Nextlink Residential;484391006011021;50;1000;1000,0;   0;   0;48439;1;0,5442693;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Mid-Plains Rural Telephone Cooperative, Inc.;Mid-Plains Communications;484379503002014;50;1000; 100,0;   0;   0;48437;1;0,5090909;25;3,0;ViaSat, Inc.;60
Totelcom Networks, LLC;Totelcom Networks, LLC;480939502002025;50;1000;1000,0;1000;1000;48093;1;0,4589200;25;2,0;ViaSat, Inc.;60
Brazoria Telephone Company;BTEL Communications;480396621001114;50;1000;1000,0;   0;   0;48039;1;0,4677003;18;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Valley Telephone Cooperative, Inc.;VTCI;480139605001014;50;1000;1000,0;   0;   0;48013;1;0,5102192;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;480479501002358;50;1000;1000,0;   0;   0;48047;1;0,5682340;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;480610102011012;50;1000;1000,0;   0;   0;48061;1;0,5908435;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;481319505001619;50;1000;1000,0;   0;   0;48131;1;0,4911888;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;481639501001307;50;1000;1000,0;   0;   0;48163;1;0,4851706;25;2,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;482150242012020;50;1000;1000,0;   0;   0;48215;1;0,6806976;30;3,0;Coba Systems;60
Valley Telephone Cooperative, Inc.;VTCI;482479504002653;50;1000;1000,0;   0;   0;48247;1;0,4814219;18;1,3;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;482619501001820;50;1000;1000,0;   0;   0;48261;1;0,5276334;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;482839503001364;50;1000;1000,0;   0;   0;48283;1;0,4476683;25;2,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;482979503001220;50;1000;1000,0;   0;   0;48297;1;0,5426199;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;483119501001373;50;1000;1000,0;   0;   0;48311;1;0,4955527;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;484279501011130;50;1000;1000,0;   0;   0;48427;1;0,5618867;25;3,0;ViaSat, Inc.;60
Valley Telephone Cooperative, Inc.;VTCI;484899507002397;50;1000;1000,0;   0;   0;48489;1;0,6351182;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483090014003031;50;1000;1000,0;   0;   0;48309;1;0,5250011;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482511311005013;50;1000;1000,0;   0;   0;48251;1;0,5468826;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482211601002074;50;1000;1000,0;   0;   0;48221;1;0,5530220;25;3,0;AMG Technology Investment Group;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483217303012027;50;1000;1000,0;   0;   0;48321;1;0,5048363;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481677247002001;50;1000;1000,0;   0;   0;48167;1;0,4623965;18;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483030015012019;50;1000;1000,0;   0;   0;48303;1;0,4600410;18;2,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483810201001005;50;1000;1000,0;   0;   0;48381;1;0,5624568;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483290015002080;50;1000;1000,0;   0;   0;48329;1;0,5902257;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481410025002027;50;1000;1000,0;   0;   0;48141;1;0,4562326;18;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483550009004014;50;1000;1000,0;   0;   0;48355;1;0,5866106;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483970404021024;50;1000;1000,0;   0;   0;48397;1;0,4182205;15;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481390602061021;50;1000;1000,0;   0;   0;48139;1;0,5069593;25;3,0;AMG Technology Investment Group;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482770005003012;50;1000;1000,0;   0;   0;48277;1;0,5046218;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481350019002006;50;1000;1000,0;   0;   0;48135;1;0,5467819;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482450006002026;50;1000;1000,0;   0;   0;48245;1;0,4984013;18;1,5;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483750145004005;50;1000;1000,0;   0;   0;48375;1;0,5446983;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;480913101003030;50;1000;1000,0;   0;   0;48091;1;0,5803972;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;480079503004003;50;1000;1000,0;   0;   0;48007;1;0,5148537;25;3,0;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484717902001026;50;1000;1000,0;   0;   0;48471;1;0,4827855;18;1,5;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482917001001127;50;1000;1000,0;   0;   0;48291;1;0,4299056;12;1,3;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483239507004052;50;1000;1000,0;   0;   0;48323;1;0,4650187;15;1,5;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483250001021035;50;1000;1000,0;   0;   0;48325;1;0,4738817;25;2,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483610207004025;50;1000;1000,0;   0;   0;48361;1;0,5143251;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484771701001046;50;1000;1000,0;   0;   0;48477;1;0,4176594; 6;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482499505003055;50;1000;1000,0;   0;   0;48249;1;0,5816084;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;480219501004020;50;1000;1000,0;   0;   0;48021;1;0,5250441;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;480157605012005;50;1000;1000,0;   0;   0;48015;1;0,3752044; 6;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;480717103003047;50;1000;1000,0;   0;   0;48071;1;0,4462240;15;2,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;483179501001758;50;1000;1000,0;   0;   0;48317;1;0,4663054;10;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481830107004076;50;1000;1000,0;   0;   0;48183;1;0,3732204;10;2,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484499503003030;50;1000;1000,0;   0;   0;48449;1;0,4195295;10;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484072001012193;50;1000;1000,0;   0;   0;48407;1;0,4243800;10;1,3;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484999506022061;50;1000;1000,0;   0;   0;48499;1;0,3521893;10;1,3;PEOPLES TELEPHONE COOPERATIVE, INC.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;481179503001015;50;1000;1000,0;   0;   0;48117;1;0,5411756;25;3,0;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;482419503003008;50;1000;1000,0;   0;   0;48241;1;0,4227786;10;1,3;ViaSat, Inc.;60
SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;AT&T Southwest;484230020083039;50;1000;1000,0;   0;   0;48423;1;0,3885495; 8;2,0;ViaSat, Inc.;60
Colorado Valley Telephone Cooperative, Inc.;Colorado Valley Telephone Cooperative, Inc.;481499702002020;50;1000;1000,0;   0;   0;48149;1;0,4922441;25;3,0;ViaSat, Inc.;60
Colorado Valley Telephone Cooperative, Inc.;Colorado Valley Telephone Cooperative, Inc.;480897503004071;50;1000;1000,0;   0;   0;48089;1;0,4561908;15;3,0;ViaSat, Inc.;60
Colorado Valley Telephone Cooperative, Inc.;Colorado Valley Telephone Cooperative, Inc.;482870003003066;50;1000;1000,0;   0;   0;48287;1;0,4776900;25;3,0;Unified Communications, Inc.;60
Colorado Valley Telephone Cooperative, Inc.;Colorado Valley Telephone Cooperative, Inc.;482850003001010;50;1000;1000,0;   0;   0;48285;1;0,4234183;10;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Cutter Communications, Inc. dba Grayson Collin Communications;Grayson Collin Communications;481810019002204;50;1000;1000,0;   0;   0;48181;1;0,5350685;25;3,0;ViaSat, Inc.;60
Vyve Broadband A, LLC;Vyve Broadband;480370113001008;43;1000;  15,0;   0;   0;48037;1;0,5044404;25;3,0;Valor Telecommunications of Texas, LLC;60
Cable One, Inc.;Cable ONE;480039502002014;42;1000;  50,0;   0;   0;48003;1;0,5211377;25;3,0;GCI Communication Corp.;60
Cable One, Inc.;Cable ONE;480570001001004;42;1000;  50,0;   0;   0;48057;1;0,5858781;25;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;480659501002025;42;1000;  50,0;   0;   0;48065;1;0,5227240;25;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;481479503001004;42;1000;  50,0;   0;   0;48147;1;0,4239588; 6;2,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;481799501001052;42;1000;  50,0;   0;   0;48179;1;0,4103450;15;2,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;482339502001007;42;1000;  50,0;   0;   0;48233;1;0,4788064;20;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;482399501004224;42;1000;  50,0;   0;   0;48239;1;0,5080627;25;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;483419501001053;42;1000;  50,0;   0;   0;48341;1;0,5608654;25;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;483479504004017;42;1000;  50,0;   0;   0;48347;1;0,4860631;18;1,3;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;484090102011000;42;1000;  50,0;   0;   0;48409;1;0,5690234;25;3,0;ViaSat, Inc.;60
Cable One, Inc.;Cable ONE;484619501001056;42;1000;  50,0;   0;   0;48461;1;0,4620541;18;1,3;GCI Communication Corp.;60
Cable One, Inc.;Cable ONE;484690017003053;42;1000;  50,0;   0;   0;48469;1;0,4021750;15;1,3;SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.;60
Taylor Electric Cooperative;Taylor Electric Cooperative;482530205002128;50;1000;1000,0;   0;   0;48253;1;0,3771234;15;2,0;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;481719501001244;50;1000;1000,0;   0;   0;48171;1;0,4620192;12;1,3;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;482599701002011;50;1000;1000,0;   0;   0;48259;1;0,4759043;12;1,5;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;482659601001094;50;1000;1000,0;   0;   0;48265;1;0,4620357;15;1,5;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;482679501001611;50;1000;1000,0;   0;   0;48267;1;0,4636445;25;2,0;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;483199501001000;50;1000;1000,0;   0;   0;48319;1;0,4974711;12;1,3;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;484359503001005;50;1000;1000,0;   0;   0;48435;1;0,3834881; 4;1,3;ViaSat, Inc.;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;480590301021027;50;1000;1000,0;   0;   0;48059;1;0,5278871;25;3,0;ViaSat, Inc.;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;480819501001125;50;1000;1000,0;   0;   0;48081;1;0,3516077; 4;1,3;ViaSat, Inc.;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;480839506001056;50;1000;1000,0;   0;   0;48083;1;0,3469078;12;2,0;Coleman County Telephone Coop, Inc;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;483539501002130;50;1000;1000,0;   0;   0;48353;1;0,4289358;15;2,0;ViaSat, Inc.;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;483999501001001;50;1000;1000,0;   0;   0;48399;1;0,3745154;15;2,0;Frontier Communications Corporation;60
Taylor Telephone Cooperative, Inc.;Taylor Telephone Cooperative, Inc.;484179503004093;50;1000;1000,0;   0;   0;48417;1;0,4035473;12;2,0;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;484639501001243;50;1000;1000,0;   0;   0;48463;1;0,5516545;25;3,0;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;483859501002413;50;1000;1000,0;   0;   0;48385;1;0,5255319;25;3,0;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;481379503002957;50;1000;1000,0;   0;   0;48137;1;0,4746053;10;1,3;ViaSat, Inc.;60
Hill Country Telephone Cooperative, Inc.;Hill Country Telephone Cooperative, Inc.;480190002002297;50;1000;1000,0;   0;   0;48019;1;0,4503178;10;1,3;ViaSat, Inc.;60
Guadalupe Valley Telephone Cooperative, Inc.;GVTC;480319502004174;50;1000; 250,0;   0;   0;48031;1;0,4631371;12;3,0;ViaSat, Inc.;60
