fips,county,IRR2010,ranking
48113,"Dallas County, Texas",0.14,1
48201,"Harris County, Texas",0.15,2
48439,"Tarrant County, Texas",0.16,3
48029,"Bexar County, Texas",0.26,4
48453,"Travis County, Texas",0.29,5
48085,"Collin County, Texas",0.3,6
48167,"Galveston County, Texas",0.32,7
48141,"El Paso County, Texas",0.33,8
48121,"Denton County, Texas",0.33,9
48157,"Fort Bend County, Texas",0.33,10
48215,"Hidalgo County, Texas",0.34,11
48183,"Gregg County, Texas",0.36,12
48339,"Montgomery County, Texas",0.36,13
48061,"Cameron County, Texas",0.36,14
48397,"Rockwall County, Texas",0.37,15
48491,"Williamson County, Texas",0.38,16
48355,"Nueces County, Texas",0.38,17
48245,"Jefferson County, Texas",0.39,18
48027,"Bell County, Texas",0.4,19
48303,"Lubbock County, Texas",0.4,20
48041,"Brazos County, Texas",0.4,21
48039,"Brazoria County, Texas",0.41,22
48423,"Smith County, Texas",0.41,23
48309,"McLennan County, Texas",0.41,24
48361,"Orange County, Texas",0.42,25
48209,"Hays County, Texas",0.42,26
48251,"Johnson County, Texas",0.42,27
48485,"Wichita County, Texas",0.43,28
48139,"Ellis County, Texas",0.43,29
48187,"Guadalupe County, Texas",0.43,30
48091,"Comal County, Texas",0.44,31
48135,"Ector County, Texas",0.44,32
48329,"Midland County, Texas",0.44,33
48441,"Taylor County, Texas",0.44,34
48375,"Potter County, Texas",0.45,35
48381,"Randall County, Texas",0.45,36
48181,"Grayson County, Texas",0.45,37
48479,"Webb County, Texas",0.45,38
48367,"Parker County, Texas",0.45,39
48037,"Bowie County, Texas",0.46,40
48257,"Kaufman County, Texas",0.46,41
48469,"Victoria County, Texas",0.46,42
48221,"Hood County, Texas",0.46,43
48451,"Tom Green County, Texas",0.47,44
48409,"San Patricio County, Texas",0.47,45
48231,"Hunt County, Texas",0.47,46
48099,"Coryell County, Texas",0.48,47
48213,"Henderson County, Texas",0.48,48
48005,"Angelina County, Texas",0.48,49
48021,"Bastrop County, Texas",0.48,50
48203,"Harrison County, Texas",0.48,51
48471,"Walker County, Texas",0.49,52
48291,"Liberty County, Texas",0.49,53
48071,"Chambers County, Texas",0.49,54
48199,"Hardin County, Texas",0.49,55
48473,"Waller County, Texas",0.49,56
48497,"Wise County, Texas",0.49,57
48347,"Nacogdoches County, Texas",0.49,58
48007,"Aransas County, Texas",0.49,59
48055,"Caldwell County, Texas",0.5,60
48467,"Van Zandt County, Texas",0.5,61
48401,"Rusk County, Texas",0.5,62
48459,"Upshur County, Texas",0.5,63
48449,"Titus County, Texas",0.5,64
48001,"Anderson County, Texas",0.5,65
48427,"Starr County, Texas",0.5,66
48499,"Wood County, Texas",0.5,67
48073,"Cherokee County, Texas",0.5,68
48349,"Navarro County, Texas",0.5,69
48277,"Lamar County, Texas",0.5,70
48249,"Jim Wells County, Texas",0.51,71
48493,"Wilson County, Texas",0.51,72
48053,"Burnet County, Texas",0.51,73
48477,"Washington County, Texas",0.51,74
48259,"Kendall County, Texas",0.51,75
48097,"Cooke County, Texas",0.51,76
48265,"Kerr County, Texas",0.51,77
48325,"Medina County, Texas",0.51,78
48013,"Atascosa County, Texas",0.51,79
48481,"Wharton County, Texas",0.51,80
48189,"Hale County, Texas",0.51,81
48223,"Hopkins County, Texas",0.51,82
48323,"Maverick County, Texas",0.51,83
48273,"Kleberg County, Texas",0.51,84
48373,"Polk County, Texas",0.52,85
48217,"Hill County, Texas",0.52,86
48025,"Bee County, Texas",0.52,87
48227,"Howard County, Texas",0.52,88
48147,"Fannin County, Texas",0.52,89
48321,"Matagorda County, Texas",0.52,90
48241,"Jasper County, Texas",0.52,91
48143,"Erath County, Texas",0.52,92
48067,"Cass County, Texas",0.52,93
48015,"Austin County, Texas",0.52,94
48049,"Brown County, Texas",0.52,95
48185,"Grimes County, Texas",0.52,96
48057,"Calhoun County, Texas",0.52,97
48489,"Willacy County, Texas",0.52,98
48407,"San Jacinto County, Texas",0.52,99
48063,"Camp County, Texas",0.52,100
48365,"Panola County, Texas",0.53,101
48343,"Morris County, Texas",0.53,102
48363,"Palo Pinto County, Texas",0.53,103
48219,"Hockley County, Texas",0.53,104
48419,"Shelby County, Texas",0.53,105
48293,"Limestone County, Texas",0.53,106
48331,"Milam County, Texas",0.53,107
48341,"Moore County, Texas",0.53,108
48281,"Lampasas County, Texas",0.54,109
48233,"Hutchinson County, Texas",0.54,110
48149,"Fayette County, Texas",0.54,111
48051,"Burleson County, Texas",0.54,112
48123,"DeWitt County, Texas",0.54,113
48145,"Falls County, Texas",0.54,114
48171,"Gillespie County, Texas",0.54,115
48253,"Jones County, Texas",0.54,116
48019,"Bandera County, Texas",0.54,117
48089,"Colorado County, Texas",0.54,118
48379,"Rains County, Texas",0.54,119
48313,"Madison County, Texas",0.54,120
48179,"Gray County, Texas",0.54,121
48287,"Lee County, Texas",0.54,122
48457,"Tyler County, Texas",0.54,123
48177,"Gonzales County, Texas",0.54,124
48425,"Somervell County, Texas",0.54,125
48285,"Lavaca County, Texas",0.54,126
48161,"Freestone County, Texas",0.54,127
48159,"Franklin County, Texas",0.54,128
48337,"Montague County, Texas",0.54,129
48395,"Robertson County, Texas",0.54,130
48299,"Llano County, Texas",0.55,131
48035,"Bosque County, Texas",0.55,132
48225,"Houston County, Texas",0.55,133
48503,"Young County, Texas",0.55,134
48463,"Uvalde County, Texas",0.55,135
48465,"Val Verde County, Texas",0.55,136
48133,"Eastland County, Texas",0.55,137
48255,"Karnes County, Texas",0.55,138
48239,"Jackson County, Texas",0.55,139
48315,"Marion County, Texas",0.55,140
48163,"Frio County, Texas",0.55,141
48353,"Nolan County, Texas",0.55,142
48415,"Scurry County, Texas",0.55,143
48289,"Leon County, Texas",0.56,144
48059,"Callahan County, Texas",0.56,145
48487,"Wilbarger County, Texas",0.56,146
48455,"Trinity County, Texas",0.56,147
48117,"Deaf Smith County, Texas",0.56,148
48351,"Newton County, Texas",0.56,149
48279,"Lamb County, Texas",0.56,150
48445,"Terry County, Texas",0.56,151
48115,"Dawson County, Texas",0.56,152
48387,"Red River County, Texas",0.56,153
48165,"Gaines County, Texas",0.56,154
48003,"Andrews County, Texas",0.56,155
48093,"Comanche County, Texas",0.56,156
48031,"Blanco County, Texas",0.56,157
48505,"Zapata County, Texas",0.56,158
48403,"Sabine County, Texas",0.57,159
48475,"Ward County, Texas",0.57,160
48077,"Clay County, Texas",0.57,161
48297,"Live Oak County, Texas",0.57,162
48399,"Runnels County, Texas",0.57,163
48009,"Archer County, Texas",0.57,164
48369,"Parmer County, Texas",0.57,165
48193,"Hamilton County, Texas",0.57,166
48391,"Refugio County, Texas",0.57,167
48119,"Delta County, Texas",0.57,168
48405,"San Augustine County, Texas",0.57,169
48437,"Swisher County, Texas",0.58,170
48429,"Stephens County, Texas",0.58,171
48237,"Jack County, Texas",0.58,172
48495,"Winkler County, Texas",0.58,173
48127,"Dimmit County, Texas",0.58,174
48175,"Goliad County, Texas",0.58,175
48507,"Zavala County, Texas",0.58,176
48131,"Duval County, Texas",0.58,177
48335,"Mitchell County, Texas",0.58,178
48069,"Castro County, Texas",0.58,179
48501,"Yoakum County, Texas",0.58,180
48047,"Brooks County, Texas",0.58,181
48357,"Ochiltree County, Texas",0.58,182
48307,"McCulloch County, Texas",0.58,183
48083,"Coleman County, Texas",0.58,184
48389,"Reeves County, Texas",0.59,185
48107,"Crosby County, Texas",0.59,186
48169,"Garza County, Texas",0.59,187
48017,"Bailey County, Texas",0.59,188
48305,"Lynn County, Texas",0.59,189
48065,"Carson County, Texas",0.59,190
48075,"Childress County, Texas",0.59,191
48153,"Floyd County, Texas",0.59,192
48371,"Pecos County, Texas",0.59,193
48207,"Haskell County, Texas",0.59,194
48333,"Mills County, Texas",0.6,195
48283,"La Salle County, Texas",0.6,196
48317,"Martin County, Texas",0.6,197
48411,"San Saba County, Texas",0.6,198
48103,"Crane County, Texas",0.6,199
48111,"Dallam County, Texas",0.6,200
48247,"Jim Hogg County, Texas",0.6,201
48197,"Hardeman County, Texas",0.6,202
48195,"Hansford County, Texas",0.6,203
48205,"Hartley County, Texas",0.61,204
48095,"Concho County, Texas",0.61,205
48483,"Wheeler County, Texas",0.61,206
48023,"Baylor County, Texas",0.61,207
48151,"Fisher County, Texas",0.61,208
48081,"Coke County, Texas",0.61,209
48417,"Shackelford County, Texas",0.61,210
48267,"Kimble County, Texas",0.61,211
48275,"Knox County, Texas",0.61,212
48079,"Cochran County, Texas",0.62,213
48129,"Donley County, Texas",0.62,214
48319,"Mason County, Texas",0.62,215
48413,"Schleicher County, Texas",0.62,216
48435,"Sutton County, Texas",0.62,217
48385,"Real County, Texas",0.62,218
48461,"Upton County, Texas",0.62,219
48211,"Hemphill County, Texas",0.62,220
48383,"Reagan County, Texas",0.62,221
48421,"Sherman County, Texas",0.62,222
48191,"Hall County, Texas",0.62,223
48125,"Dickens County, Texas",0.63,224
48327,"Menard County, Texas",0.63,225
48087,"Collingsworth County, Texas",0.63,226
48271,"Kinney County, Texas",0.63,227
48295,"Lipscomb County, Texas",0.63,228
48043,"Brewster County, Texas",0.63,229
48011,"Armstrong County, Texas",0.64,230
48377,"Presidio County, Texas",0.64,231
48105,"Crockett County, Texas",0.64,232
48359,"Oldham County, Texas",0.64,233
48235,"Irion County, Texas",0.64,234
48045,"Briscoe County, Texas",0.65,235
48229,"Hudspeth County, Texas",0.65,236
48447,"Throckmorton County, Texas",0.65,237
48155,"Foard County, Texas",0.65,238
48173,"Glasscock County, Texas",0.65,239
48433,"Stonewall County, Texas",0.65,240
48101,"Cottle County, Texas",0.66,241
48431,"Sterling County, Texas",0.66,242
48345,"Motley County, Texas",0.66,243
48137,"Edwards County, Texas",0.67,244
48243,"Jeff Davis County, Texas",0.67,245
48109,"Culberson County, Texas",0.67,246
48393,"Roberts County, Texas",0.67,247
48263,"Kent County, Texas",0.68,248
48311,"McMullen County, Texas",0.69,249
48033,"Borden County, Texas",0.69,250
48443,"Terrell County, Texas",0.7,251
48261,"Kenedy County, Texas",0.71,252
48269,"King County, Texas",0.72,253
48301,"Loving County, Texas",0.76,254